CD264610	79725	3/9/2011	3/9/2011	RNAi	1	USA
CD267010	79725	3/9/2011	3/9/2011	RNAi	1	USA
CD255587	79978	3/9/2011	4/6/2011	RNAi	1	USA
CD259213	79978	4/6/2011	4/6/2011	RNAi	1	USA
CD260785	79978	4/6/2011	4/6/2011	RNAi	1	USA
CD270213	79978	4/6/2011	4/6/2011	RNAi	1	USA
CD263047	80083	4/6/2011	4/6/2011	RNAi	1	USA
CD264258	80242	3/9/2011	3/9/2011	RNAi	1	USA
CD263283	80776	3/9/2011	3/9/2011	RNAi	1	USA
CD265019	80960	4/6/2011	4/6/2011	RNAi	1	USA
CD272341	81489	3/9/2011	3/9/2011	RNAi	1	People's Republic of China
DKLAT4G33530	81565	1/4/2011	1/4/2011	Expression	1	Saudi Arabia
DKLAT5G57690.1	81565	1/4/2011	1/4/2011	Expression	1	Saudi Arabia
DQ447086	81565	1/4/2011	1/4/2011	Full Length	1	Saudi Arabia
CD3-1258	81571	1/4/2011	1/4/2011	vector	1	USA
CD3-1259	81571	1/4/2011	1/4/2011	vector	1	USA
CD3-388	81571	1/4/2011	1/4/2011	vector	1	USA
CD3-385	81575	1/4/2011	1/4/2011	vector	1	Argentina
CD3-911	81577	1/4/2011	1/4/2011	vector	1	USA
CD3-914	81577	1/4/2011	1/4/2011	Individual & mapping clones	1	USA
CD3-919	81577	1/4/2011	1/4/2011	Individual & mapping clones	1	USA
G09154	81585	1/4/2011	1/4/2011	Full Length	1	France
GC105177	81585	1/4/2011	1/4/2011	Full Length	1	France
CD3-1080	81593	1/4/2011	1/4/2011	vector	1	Korea
CD3-1089	81593	1/4/2011	1/4/2011	vector	1	Korea
CD3-1096	81593	1/4/2011	1/4/2011	vector	1	Korea
CD3-1097	81593	1/4/2011	1/4/2011	vector	1	Korea
CD255308	81604	1/4/2011	1/4/2011	RNAi	1	USA
DKLAT1G12220	81604	1/4/2011	1/4/2011	Expression	1	USA
G62061	81604	1/4/2011	1/4/2011	Full Length	1	USA
G13247	81609	1/4/2011	1/4/2011	Full Length	1	Korea
G83614	81609	1/4/2011	1/4/2011	Full Length	1	Korea
GC104970	81609	1/4/2011	1/4/2011	Full Length	1	Korea
U09540	81609	1/4/2011	1/4/2011	Full Length	1	Korea
U12202	81609	1/4/2011	1/4/2011	Full Length	1	Korea
U12693	81609	1/4/2011	1/4/2011	Full Length	1	Korea
U12730	81609	1/4/2011	1/4/2011	Full Length	1	Korea
U14565	81609	1/4/2011	1/4/2011	Full Length	1	Korea
U18620	81609	1/4/2011	1/4/2011	Full Length	1	Korea
T15B3	81614	1/4/2011	1/4/2011	BAC, YAC, P1	1	USA
G10789	81621	1/4/2011	1/4/2011	Full Length	1	USA
G11031	81621	1/4/2011	1/4/2011	Full Length	1	USA
G11578	81621	1/4/2011	1/4/2011	Full Length	1	USA
G12243	81621	1/4/2011	1/4/2011	Full Length	1	USA
G13808	81621	1/4/2011	1/4/2011	Full Length	1	USA
G14124	81621	1/4/2011	1/4/2011	Full Length	1	USA
G17087	81621	1/4/2011	1/4/2011	Full Length	1	USA
G22186	81621	1/4/2011	1/4/2011	Full Length	1	USA
G60775	81621	1/4/2011	1/4/2011	Full Length	1	USA
G67664	81621	1/4/2011	1/4/2011	Full Length	1	USA
G82350	81621	1/4/2011	1/4/2011	Full Length	1	USA
G82439	81621	1/4/2011	1/4/2011	Full Length	1	USA
G85776	81621	1/4/2011	1/4/2011	Full Length	1	USA
G87446	81621	1/4/2011	1/4/2011	Full Length	1	USA
GC104855	81621	1/4/2011	1/4/2011	Full Length	1	USA
U15604	81621	1/4/2011	1/4/2011	Full Length	1	USA
U17829	81621	1/4/2011	1/4/2011	Full Length	1	USA
U25115	81621	1/4/2011	1/4/2011	Full Length	1	USA
U87155	81621	1/4/2011	1/4/2011	Full Length	1	USA
DKLAT4G24210	81625	1/4/2011	1/4/2011	Expression	1	Korea
U13937	81625	1/4/2011	1/4/2011	Full Length	1	Korea
U14047	81625	1/4/2011	1/4/2011	Full Length	1	Korea
U18422	81625	1/4/2011	1/4/2011	Full Length	1	Korea
U60167	81625	1/4/2011	1/4/2011	Full Length	1	Korea
F4P9	81635	1/11/2011	1/11/2011	BAC, YAC, P1	1	USA
T1P2	81635	1/11/2011	1/11/2011	BAC, YAC, P1	1	USA
T2H7	81635	1/11/2011	1/11/2011	BAC, YAC, P1	1	USA
T17H3	81640	1/11/2011	1/11/2011	BAC, YAC, P1	1	People's Republic of China
T22C5	81640	1/11/2011	1/11/2011	BAC, YAC, P1	1	People's Republic of China
F12A12	81659	1/11/2011	1/11/2011	BAC, YAC, P1	1	USA
F12B17	81659	1/11/2011	1/11/2011	BAC, YAC, P1	1	USA
F25P22	81659	1/11/2011	1/11/2011	BAC, YAC, P1	1	USA
K21L13	81659	1/11/2011	1/11/2011	BAC, YAC, P1	1	USA
U10217	81659	1/11/2011	1/11/2011	Full Length	1	USA
U22881	81661	1/11/2011	1/11/2011	Full Length	1	USA
CD3-605	81668	1/11/2011	1/11/2011	vector	1	India
CD3-607	81668	1/11/2011	1/11/2011	vector	1	India
CD3-608	81668	1/11/2011	1/11/2011	vector	1	India
DQ446279	81686	1/11/2011	1/11/2011	Full Length	1	USA
DQ446947	81686	1/11/2011	1/11/2011	Full Length	1	USA
DQ447060	81686	1/11/2011	1/11/2011	Full Length	1	USA
CCL84839	81690	1/10/2011	1/10/2011	cell_line	1	USA
U09263	81692	1/11/2011	1/11/2011	Full Length	1	USA
U16313	81692	1/11/2011	1/11/2011	Full Length	1	USA
CD3-1000	81696	1/11/2011	1/11/2011	vector	1	Japan
CD3-995	81696	1/11/2011	1/11/2011	vector	1	Japan
CD3-996	81696	1/11/2011	1/11/2011	vector	1	Japan
CD3-999	81696	1/11/2011	1/11/2011	vector	1	Japan
DKLAT1G66160	81697	1/11/2011	1/11/2011	Expression	1	USA
DKLAT1G47128	81698	1/11/2011	1/11/2011	Expression	1	Japan
DKLAT1G67250	81698	1/11/2011	1/11/2011	Expression	1	Japan
DKLAT2G30110	81698	1/11/2011	1/11/2011	Expression	1	Japan
CD3-1069	81699	1/11/2011	1/11/2011	vector	1	People's Republic of China
CD3-1095	81699	1/11/2011	1/11/2011	vector	1	People's Republic of China
CD3-1104	81699	1/11/2011	1/11/2011	vector	1	People's Republic of China
CD3-1108	81699	1/11/2011	1/11/2011	vector	1	People's Republic of China
CD3-1110	81699	1/11/2011	1/11/2011	vector	1	People's Republic of China
CD3-1250	81699	1/11/2011	1/11/2011	vector	1	People's Republic of China
CD3-1251	81699	1/11/2011	1/11/2011	vector	1	People's Republic of China
